,0
tGravityAcc-max()-X,0.029767280508684487
tGravityAcc-mean()-X,0.02863580513400792
tGravityAcc-min()-X,0.02750916403923196
"angle(X,gravityMean)",0.025938500363944718
"angle(Y,gravityMean)",0.02420526886082512
tGravityAcc-max()-Y,0.02206710476904341
tGravityAcc-min()-Y,0.020817521804218
tGravityAcc-mean()-Y,0.019504771513602914
tGravityAcc-energy()-X,0.014792389703901721
tGravityAccMag-std(),0.014055020031675998
tGravityAcc-mean()-Z,0.012552328724211637
fBodyAcc-meanFreq()-Z,0.012427664211954015
"angle(Z,gravityMean)",0.01213295981943472
fBodyAccMag-energy(),0.010610964832832468
fBodyAccJerk-entropy()-Y,0.010017612511984623
fBodyAccJerk-mad()-Y,0.00949247401412815
"tGravityAcc-arCoeff()-Z,2",0.009324474376671993
"tGravityAcc-arCoeff()-Y,3",0.00931235961864675
fBodyAcc-std()-X,0.009250740404940333
tGravityAcc-energy()-Y,0.00908779648334501
"fBodyAccJerk-bandsEnergy()-1,16",0.008960078143777472
"tGravityAcc-arCoeff()-Z,4",0.008561200106368416
tBodyAccJerkMag-mean(),0.00852810363183601
"fBodyAccJerk-bandsEnergy()-1,16.1",0.00835492919416376
tBodyAccMag-mad(),0.008306649706073274
fBodyAccJerk-mad()-X,0.008250548455265128
tBodyAccJerk-std()-Y,0.00823383796491147
"fBodyAcc-bandsEnergy()-1,16",0.00819126467783277
fBodyAcc-entropy()-X,0.008179690957596002
tGravityAcc-energy()-Z,0.008076669422694272
tBodyAcc-std()-X,0.00790605446395374
"tGravityAcc-arCoeff()-Y,2",0.007577530553017662
"fBodyAcc-bandsEnergy()-1,24",0.007541655582404855
"tGravityAcc-arCoeff()-Z,1",0.007411147419517153
"fBodyAcc-bandsEnergy()-1,8",0.0072376218524002325
tGravityAcc-max()-Z,0.007161043183680064
"tGravityAcc-arCoeff()-Y,1",0.007037603012727207
"fBodyAccJerk-bandsEnergy()-1,8",0.0069674215434419266
"tBodyAcc-correlation()-X,Y",0.006847310952618622
"tGravityAcc-arCoeff()-Z,3",0.006800104596012205
fBodyAccMag-mad(),0.006557735050152434
tBodyGyroJerk-iqr()-X,0.006484525221830385
tBodyAccJerkMag-mad(),0.006466680553016048
tBodyAccJerk-mad()-Y,0.0064521657494449195
tBodyAccJerkMag-iqr(),0.006197556435532368
"fBodyAccJerk-bandsEnergy()-1,24",0.0061912302718100335
tBodyAccMag-std(),0.006176207545265071
fBodyAccJerk-mean()-Y,0.006159491582994107
tGravityAcc-min()-Z,0.006158355660731027
fBodyAccJerk-std()-X,0.0061429572544764634
fBodyAccJerk-sma(),0.006138108296917729
tBodyAcc-mad()-X,0.005995221028734855
tGravityAcc-entropy()-Y,0.005252255462175653
fBodyAccMag-std(),0.005165249224576524
tBodyAcc-max()-X,0.0051283414328131115
tBodyAcc-iqr()-X,0.004955789365845144
tGravityAccMag-arCoeff()1,0.004955055144982445
tBodyAccMag-arCoeff()1,0.004668430424310762
tBodyAccJerk-sma(),0.004422331442065095
fBodyAccJerk-energy()-Y,0.004416922714832605
"tGravityAcc-correlation()-X,Y",0.004404716602113635
tBodyAccJerk-iqr()-Y,0.004266794253158441
tBodyAccJerk-energy()-X,0.00423139202472015
tBodyGyroJerk-iqr()-Z,0.004184128703780205
fBodyAcc-entropy()-Y,0.004180346642663713
"fBodyAccJerk-bandsEnergy()-1,8.1",0.004129285014449407
fBodyBodyAccJerkMag-energy(),0.00410311788769859
fBodyGyro-maxInds-X,0.004097001393915389
tBodyAccMag-arCoeff()2,0.0040689716648214715
tBodyGyro-iqr()-X,0.004066765653438226
fBodyAcc-meanFreq()-Y,0.003937547081478606
tGravityAcc-sma(),0.003865752522257919
"tGravityAcc-arCoeff()-Y,4",0.0037545231873019873
tBodyGyroJerk-mad()-X,0.00373888033087569
tBodyAcc-energy()-X,0.0036910573819022856
tBodyAccJerk-max()-Y,0.0036158954679848154
"tGravityAcc-arCoeff()-X,3",0.0035349551164223763
fBodyAcc-max()-X,0.0034350242561893506
fBodyAccJerk-iqr()-Y,0.0033989817687931118
"tGravityAcc-arCoeff()-X,1",0.0032720151531436714
tGravityAcc-iqr()-Z,0.0032028551412423972
tBodyAccJerk-entropy()-X,0.0031329465897814834
tGravityAccMag-energy(),0.003120566039320822
fBodyAcc-mad()-X,0.003105680490571154
fBodyAccMag-mean(),0.003064069436755045
tGravityAccMag-max(),0.0030545110102309244
fBodyAcc-energy()-X,0.0029738340059460426
"fBodyAccJerk-bandsEnergy()-9,16",0.0029551167225878292
fBodyGyro-mean()-X,0.0029498755818711236
tGravityAcc-std()-X,0.0029421473301205277
"fBodyAccJerk-bandsEnergy()-1,8.2",0.002909055329606189
tBodyGyro-entropy()-X,0.002886579584221058
fBodyGyro-energy()-X,0.0027773611672518785
fBodyGyro-max()-X,0.0027638253263327812
